CustomerKey,Name,Birth Date,Marital Status,Gender,Yearly Income,Total Children,Children At Home,Education,Occupation,Continent,City,State,Customer Type,CountryRegion,CompanyName
25,"Xie, Russell",17-09-1978 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Concord,California,Person,United States,
44,"Simmons, Nathan",24-02-1976 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Glendale,California,Person,United States,
925,"Long, Ian",25-10-1979 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Novato,California,Person,United States,
939,"Alexander, Seth",21-09-1977 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Daly City,California,Person,United States,
940,"Washington, Kevin",22-06-1977 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Imperial Beach,California,Person,United States,
955,"Garcia, Joseph",17-08-1975 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Glendale,California,Person,United States,
956,"Green, Gabriel",05-04-1975 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Glendale,California,Person,United States,
2032,"Shan, Hunter",16-02-1977 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Lemon Grove,California,Person,United States,
2034,"Gonzalez, Xavier",20-11-1976 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Oakland,California,Person,United States,
2985,"Richardson, Adrian",08-03-1979 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,San Diego,California,Person,United States,
2993,"Xie, Gregory",06-06-1978 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Burlingame,California,Person,United States,
2994,"Patterson, Zachary",24-08-1978 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Burlingame,California,Person,United States,
3271,"Ross, James",25-01-1975 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,La Jolla,California,Person,United States,
3274,"Parker, Angel",05-05-1973 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,San Gabriel,California,Person,United States,
3853,"Gonzalez, Adam",13-11-1978 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Lemon Grove,California,Person,United States,
4006,"Cooper, Adrian",20-09-1978 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Long Beach,California,Person,United States,
4429,"Howard, Richard",01-05-1979 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Spring Valley,California,Person,United States,
4433,"Kumar, Alvin",18-08-1978 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Colma,California,Person,United States,
4434,"Sharma, Adam",18-08-1978 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Concord,California,Person,United States,
5018,"Ramirez, Jeremy",12-05-1979 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Novato,California,Person,United States,
5337,"Wright, Jonathan",08-06-1977 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Downey,California,Person,United States,
5338,"White, Jose",06-07-1977 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,El Cajon,California,Person,United States,
5504,"Anderson, Christian",02-03-1975 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Mill Valley,California,Person,United States,
5753,"Wright, Mason",27-02-1973 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Torrance,California,Person,United States,
5921,"Stewart, Eduardo",17-01-1979 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Torrance,California,Person,United States,
5926,"Patterson, Spencer",21-07-1978 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Daly City,California,Person,United States,
6481,"Gonzalez, Lucas",20-08-1978 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Mill Valley,California,Person,United States,
6490,"Evans, Jack",21-11-1977 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Glendale,California,Person,United States,
7345,"Turner, Caleb",21-02-1976 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Woodland Hills,California,Person,United States,
7361,"Li, Eric",13-09-1979 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Santa Cruz,California,Person,United States,
7362,"Simmons, Marcus",26-12-1979 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,West Covina,California,Person,United States,
7455,"Perez, George",23-11-1977 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Burbank,California,Person,United States,
7456,"Wu, Alejandro",25-09-1977 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Coronado,California,Person,United States,
7457,"Bailey, Timothy",05-09-1977 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Grossmont,California,Person,United States,
7474,"Rogers, Nathaniel",27-05-1975 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,La Jolla,California,Person,United States,
7475,"Smith, James",11-07-1975 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Long Beach,California,Person,United States,
7775,"Flores, Justin",19-06-1976 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Woodland Hills,California,Person,United States,
7781,"Carter, Evan",09-05-1973 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Novato,California,Person,United States,
7795,"Davis, Andrew",20-03-1979 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Long Beach,California,Person,United States,
7893,"Howard, Chase",16-11-1977 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Colma,California,Person,United States,
7894,"White, Devin",15-06-1977 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Imperial Beach,California,Person,United States,
7921,"Young, Jonathan",19-05-1973 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Redwood City,California,Person,United States,
8671,"Gutierrez, Erik",16-03-1978 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Burbank,California,Person,United States,
8672,"Davis, Michael",02-07-1978 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Concord,California,Person,United States,
8757,"Yuan, Nicolas",03-08-1977 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Chula Vista,California,Person,United States,
8759,"Wright, Alex",25-12-1976 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Woodland Hills,California,Person,United States,
8778,"Thomas, Jonathan",19-05-1975 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Los Angeles,California,Person,United States,
9311,"Ramirez, Timothy",04-04-1979 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Long Beach,California,Person,United States,
9312,"Bell, Cole",11-02-1979 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Los Angeles,California,Person,United States,
9412,"James, Cole",05-06-1977 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,El Cajon,California,Person,United States,
9435,"Sharma, Nathan",13-10-1975 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Imperial Beach,California,Person,United States,
9439,"Scott, Robert",22-12-1975 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,West Covina,California,Person,United States,
10275,"Scott, Seth",10-09-1979 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Novato,California,Person,United States,
10369,"Collins, Mason",26-09-1977 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Daly City,California,Person,United States,
10399,"Diaz, Ethan",25-03-1975 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Spring Valley,California,Person,United States,
10400,"Hughes, Ian",25-11-1975 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Woodland Hills,California,Person,United States,
11063,"Flores, Cameron",28-04-1978 00:00,S,M,60000,0,0,Partial College,Skilled Manual,North America,Downey,California,Person,United States,
11153,"King, Marcus",18-02-1978 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Long Beach,California,Person,United States,
11163,"Yuan, Brad",11-04-1977 00:00,M,M,60000,0,0,Partial College,Skilled Manual,North America,Burbank,California,Person,United States,
